sample_id,class_name,class_id,recording_id,source_csv,window_start_row,window_end_row,reason
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,0,7,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,1,8,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,2,9,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,3,10,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,4,11,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,5,12,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,6,13,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,7,14,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,8,15,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,9,16,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,10,17,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,11,18,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,12,19,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,13,20,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,14,21,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,15,22,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,16,23,fewer than 5 valid points
,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,17,24,fewer than 5 valid points
